Accession number,Source,Tissue,Development stage,Country
DRX336783,RNA-Seq,tuber,,
DRX336779,RNA-Seq,tuber,,
DRX336778,RNA-Seq,tuber,,
SRX13165914,RNA-Seq,tuber,,
SRX13165913,RNA-Seq,tuber,,
SRX13165912,RNA-Seq,tuber,,
SRX13165911,RNA-Seq,tuber,,
SRX13165906,RNA-Seq,tuber,,
SRX13165905,RNA-Seq,tuber,,
SRX13165910,RNA-Seq,tuber,,
SRX13165903,RNA-Seq,tuber,,
SRX13165907,RNA-Seq,tuber,,
SRX13165904,RNA-Seq,tuber,,
SRX13165909,RNA-Seq,tuber,,
SRX13165894,miRNA-Seq,tuber,,
SRX14025782,RNA-Seq,,,United Kingdom: Scotland
SRX13165892,miRNA-Seq,tuber,,
SRX13165890,miRNA-Seq,tuber,,
SRX13165891,miRNA-Seq,tuber,,
SRX13165889,miRNA-Seq,tuber,,
SRX13165893,miRNA-Seq,tuber,,
SRX13165908,RNA-Seq,tuber,,
SRX13165888,miRNA-Seq,tuber,,
SRX13165887,miRNA-Seq,tuber,,
SRX13165886,miRNA-Seq,tuber,,
SRX13165885,miRNA-Seq,tuber,,
SRX13165883,miRNA-Seq,tuber,,
SRX13165884,miRNA-Seq,tuber,,
SRX13423336,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423334,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423337,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423338,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423332,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423331,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423335,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423333,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423329,RNA-Seq,Tuber,Mature tuber,"Colombia: El Cocuy, Boyaca"
SRX13423327,RNA-Seq,Tuber,Mature tuber,"Colombia: El Cocuy, Boyaca"
SRX13423328,RNA-Seq,Tuber,Mature tuber,"Colombia: El Cocuy, Boyaca"
SRX13423330,RNA-Seq,Tuber,Mature tuber,"Colombia: El Cocuy, Boyaca"
SRX13423326,RNA-Seq,Tuber,Mature tuber,"Colombia: Ipiales, Narino"
SRX13423325,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423324,RNA-Seq,Tuber,Mature tuber,"Colombia: Ipiales, Narino"
SRX13423323,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423322,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423321,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423320,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423319,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423318,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423317,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423316,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423315,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423314,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423313,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423312,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423310,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423311,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423309,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423308,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423307,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423306,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423305,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423303,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423304,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13423302,RNA-Seq,Tuber,Mature tuber,Colombia
SRX13313865,RNA-Seq,leaf,,Russia
SRX13313867,RNA-Seq,leaf,,Russia
SRX13313863,RNA-Seq,leaf,,Russia
SRX13313864,RNA-Seq,leaf,,Russia
SRX13313861,RNA-Seq,leaf,,Russia
SRX13313859,RNA-Seq,leaf,,Russia
SRX13313862,RNA-Seq,leaf,,Russia
SRX13313860,RNA-Seq,leaf,,Russia
SRX13313858,RNA-Seq,leaf,,Russia
SRX13313866,RNA-Seq,leaf,,Russia
SRX13313857,RNA-Seq,leaf,,Russia
SRX13313856,RNA-Seq,leaf,,Russia
SRX13313854,RNA-Seq,leaf,,Russia
SRX13313855,RNA-Seq,leaf,,Russia
SRX13313853,RNA-Seq,leaf,,Russia
SRX13313852,RNA-Seq,leaf,,Russia
SRX13313850,RNA-Seq,leaf,,Russia
SRX13313851,RNA-Seq,leaf,,Russia
SRX13313849,RNA-Seq,leaf,,Russia
SRX13313848,RNA-Seq,leaf,,Russia
SRX13313847,RNA-Seq,leaf,,Russia
SRX13313846,RNA-Seq,leaf,,Russia
SRX13273549,RNA-Seq,leaf,,
SRX13273548,RNA-Seq,leaf,,
SRX13273551,RNA-Seq,leaf,,
SRX13273553,RNA-Seq,leaf,,
SRX13273550,RNA-Seq,leaf,,
SRX13273552,RNA-Seq,leaf,,
SRX13257946,RNA-Seq,leaf,not collected,China
SRX13257948,RNA-Seq,leaf,not collected,China
SRX13257949,RNA-Seq,leaf,not collected,China
SRX13257950,RNA-Seq,leaf,not collected,China
SRX13257944,RNA-Seq,leaf,not collected,China
SRX13257945,RNA-Seq,leaf,not collected,China
SRX13257943,RNA-Seq,leaf,not collected,China
SRX13257942,RNA-Seq,leaf,not collected,China
SRX13257947,RNA-Seq,leaf,not collected,China
SRX13257941,RNA-Seq,leaf,not collected,China
SRX13257940,RNA-Seq,leaf,not collected,China
SRX13257939,RNA-Seq,leaf,not collected,China
SRX13257938,RNA-Seq,leaf,not collected,China
SRX13257936,RNA-Seq,leaf,not collected,China
SRX13257935,RNA-Seq,leaf,not collected,China
SRX13257934,RNA-Seq,leaf,not collected,China
SRX13257931,RNA-Seq,leaf,not collected,China
SRX13257933,RNA-Seq,leaf,not collected,China
SRX13257937,RNA-Seq,leaf,not collected,China
SRX13257932,RNA-Seq,leaf,not collected,China
SRX13257929,RNA-Seq,leaf,not collected,China
SRX13257930,RNA-Seq,leaf,not collected,China
SRX13257928,RNA-Seq,leaf,not collected,China
SRX13257927,RNA-Seq,leaf,not collected,China
SRX13257925,RNA-Seq,leaf,not collected,China
SRX13257926,RNA-Seq,leaf,not collected,China
SRX13257924,RNA-Seq,leaf,not collected,China
SRX13257923,RNA-Seq,leaf,not collected,China
SRX13257921,RNA-Seq,leaf,not collected,China
SRX13257922,RNA-Seq,leaf,not collected,China
SRX13257918,RNA-Seq,leaf,not collected,China
SRX13257920,RNA-Seq,leaf,not collected,China
SRX13257919,RNA-Seq,leaf,not collected,China
SRX13257915,RNA-Seq,leaf,not collected,China
SRX13257916,RNA-Seq,leaf,not collected,China
SRX13257917,RNA-Seq,leaf,not collected,China
SRX13257913,RNA-Seq,leaf,not collected,China
SRX13257914,RNA-Seq,leaf,not collected,China
SRX13257912,RNA-Seq,leaf,not collected,China
SRX13257911,RNA-Seq,leaf,not collected,China
SRX13257908,RNA-Seq,leaf,not collected,China
SRX13257910,RNA-Seq,leaf,not collected,China
SRX13257909,RNA-Seq,leaf,not collected,China
SRX13257907,RNA-Seq,leaf,not collected,China
SRX13257906,RNA-Seq,leaf,not collected,China
SRX13257904,RNA-Seq,leaf,not collected,China
SRX13257905,RNA-Seq,leaf,not collected,China
SRX13257902,RNA-Seq,leaf,not collected,China
SRX13257903,RNA-Seq,leaf,not collected,China
SRX13257901,RNA-Seq,leaf,not collected,China
SRX13257898,RNA-Seq,leaf,not collected,China
SRX13257900,RNA-Seq,leaf,not collected,China
SRX13257897,RNA-Seq,leaf,not collected,China
SRX13257899,RNA-Seq,leaf,not collected,China
SRX13257895,RNA-Seq,leaf,not collected,China
SRX13257896,RNA-Seq,leaf,not collected,China
SRX13257894,RNA-Seq,leaf,not collected,China
SRX13257893,RNA-Seq,leaf,not collected,China
SRX13257892,RNA-Seq,leaf,not collected,China
SRX13257891,RNA-Seq,leaf,not collected,China
SRX13164823,miRNA-Seq,young fully grown leaves,mature plants,Israel
SRX13164822,miRNA-Seq,young fully grown leaves,mature plants,Israel
SRX13164824,miRNA-Seq,young fully grown leaves,mature plants,Israel
SRX6878561,RNA-Seq,,,
SRX6878559,RNA-Seq,,,
SRX6878560,RNA-Seq,,,
SRX12891450,RNA-Seq,tuber,not collected,China:Inner Mongolia
SRX6878557,RNA-Seq,,,
SRX12891449,RNA-Seq,tuber,missing,China:Inner Mongolia
SRX12798144,RNA-Seq,tuber,,China: Lanzhou
SRX12798143,RNA-Seq,tuber,,China: Lanzhou
SRX12798138,RNA-Seq,tuber,,China: Lanzhou
SRX12798140,RNA-Seq,tuber,,China: Lanzhou
SRX12798136,RNA-Seq,tuber,,China: Lanzhou
SRX12798141,RNA-Seq,tuber,,China: Lanzhou
SRX12798139,RNA-Seq,tuber,,China: Lanzhou
SRX12798142,RNA-Seq,tuber,,China: Lanzhou
SRX12798137,RNA-Seq,tuber,,China: Lanzhou
SRX12798135,RNA-Seq,tuber,,China: Lanzhou
SRX12798134,RNA-Seq,tuber,,China: Lanzhou
SRX12798133,RNA-Seq,tuber,,China: Lanzhou
SRX12755586,RNA-Seq,Leaf,Full anthesis,
SRX12755585,RNA-Seq,Leaf,Full anthesis,
SRX12755583,RNA-Seq,Leaf,Full anthesis,
SRX12755584,RNA-Seq,Leaf,Full anthesis,
SRX12755582,RNA-Seq,Leaf,Full anthesis,
SRX12755581,RNA-Seq,Leaf,Full anthesis,
SRX12683799,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683800,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683801,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683795,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683796,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683793,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683797,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683794,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683791,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683792,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683783,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683784,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683782,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683798,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683781,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683778,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683780,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683779,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683776,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683777,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683774,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683775,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683772,RNA-Seq,Leaf,,Russia: Belogorka
SRX12683773,RNA-Seq,Leaf,,Russia: Belogorka
SRX12490768,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490767,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490770,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490765,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490769,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490762,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490764,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490763,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490766,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490761,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490760,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490759,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490758,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490757,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490756,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490755,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490754,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490753,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490751,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490752,miRNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490750,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490749,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490748,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490747,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490744,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490743,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490746,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490742,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490745,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490741,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490740,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490739,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12490738,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490737,RNA-Seq,"upper, uninoculated leaf",,USA: Montana State University
SRX12490735,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12410313,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12490736,RNA-Seq,inoculated leaf,,USA: Montana State University
SRX12410311,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410292,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410312,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410276,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410275,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410281,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410303,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410274,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410273,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410272,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410271,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410268,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410269,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410270,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410267,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410266,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410264,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410265,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410262,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410261,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410263,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410260,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410258,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410257,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410259,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410256,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410253,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410255,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410254,RNA-Seq,tuber,tuber stage,China:Yunnan
SRX12410252,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410251,RNA-Seq,leaf,seedling stage,China:Yunnan
SRX12410250,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410249,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410247,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12410248,RNA-Seq,flower,flowering stage,China:Yunnan
SRX12192818,RNA-Seq,,Fully-developed tubers,
SRX12192819,RNA-Seq,,Fully-developed tubers,
SRX12192821,RNA-Seq,,Fully-developed tubers,
SRX12192817,RNA-Seq,,Fully-developed tubers,
SRX12192825,RNA-Seq,,Fully-developed tubers,
SRX12192820,RNA-Seq,,Fully-developed tubers,
SRX12192824,RNA-Seq,,Fully-developed tubers,
SRX12192822,RNA-Seq,,Fully-developed tubers,
SRX12192823,RNA-Seq,,Fully-developed tubers,
SRX12192816,RNA-Seq,,Fully-developed tubers,
SRX12192814,RNA-Seq,,Fully-developed tubers,
SRX12192815,RNA-Seq,,Fully-developed tubers,
SRX12149956,RNA-Seq,Leaf,not applicable,not applicable
SRX12149957,RNA-Seq,Leaf,not applicable,not applicable
SRX11977359,RNA-Seq,leaf,missing,missing
SRX11977360,RNA-Seq,leaf,missing,missing
SRX11977358,RNA-Seq,leaf,missing,missing
SRX12149958,RNA-Seq,Leaf,not applicable,not applicable
SRX11977357,RNA-Seq,leaf,missing,missing
SRX11977361,RNA-Seq,leaf,missing,missing
SRX11977355,RNA-Seq,leaf,missing,missing
SRX11977356,RNA-Seq,leaf,missing,missing
SRX11977353,RNA-Seq,leaf,missing,missing
SRX11977354,RNA-Seq,leaf,missing,missing
SRX11977352,RNA-Seq,leaf,missing,missing
SRX11977350,RNA-Seq,leaf,missing,missing
SRX11977351,RNA-Seq,leaf,missing,missing
SRX11906879,RNA-Seq,"mature leaf, BTH treatment",mature,USA:MI
SRX11703636,RNA-Seq,tuber sprouts,immature,USA:MI
SRX11703637,RNA-Seq,tuber sprouts,immature,USA:MI
SRX11898399,RNA-Seq,"root, drought treatment",mature,USA:MI
SRX11906878,RNA-Seq,"mature leaf, BTH treatment",mature,USA:MI
SRX11906877,RNA-Seq,"mature leaf, BTH treatment",mature,USA:MI
SRX11898398,RNA-Seq,"root, drought treatment",mature,USA:MI
SRX11898400,RNA-Seq,open flower,mature,USA:MI
SRX11898396,RNA-Seq,"root, control",mature,USA:MI
SRX11898397,RNA-Seq,"root, drought treatment",mature,USA:MI
SRX11898395,RNA-Seq,"mature leaf, cold treatment",mature,USA:MI
SRX11898394,RNA-Seq,"mature leaf, cold treatment",mature,USA:MI
SRX11898393,RNA-Seq,"mature leaf, cold treatment",mature,USA:MI
SRX11898392,RNA-Seq,"root, salt treatment",mature,USA:MI
SRX11898390,RNA-Seq,"mature leaf, salt treatment control",mature,USA:MI
SRX11898391,RNA-Seq,"root, salt treatment",mature,USA:MI
SRX11898389,RNA-Seq,"mature leaf, salt treatment control",mature,USA:MI
SRX11898388,RNA-Seq,"mature leaf, salt treatment control",mature,USA:MI
SRX11898386,RNA-Seq,"mature leaf, cold treatment control",mature,USA:MI
SRX11898387,RNA-Seq,"mature leaf, cold treatment control",mature,USA:MI
SRX11823278,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823277,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823279,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823281,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823280,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823274,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823273,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823275,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823276,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823271,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823272,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823270,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823267,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823268,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11823269,RNA-Seq,leaf,"1, 6, 12, 24, 48 hours",Sweden
SRX11738644,RNA-Seq,leaf,not collected,China:HuBei
SRX11738642,RNA-Seq,leaf,not collected,China:HuBei
SRX11738643,RNA-Seq,leaf,not collected,China:HuBei
SRX11738641,RNA-Seq,leaf,not collected,China:HuBei
SRX11738640,RNA-Seq,leaf,not collected,China:HuBei
SRX11738645,RNA-Seq,leaf,not collected,China:HuBei
SRX11738637,RNA-Seq,leaf,not collected,China:HuBei
SRX11738639,RNA-Seq,leaf,not collected,China:HuBei
SRX11738636,RNA-Seq,leaf,not collected,China:HuBei
SRX11738638,RNA-Seq,leaf,not collected,China:HuBei
SRX11738635,RNA-Seq,leaf,not collected,China:HuBei
SRX11738634,RNA-Seq,leaf,not collected,China:HuBei
SRX11703681,RNA-Seq,mature fruit,mature,USA:MI
SRX11703676,RNA-Seq,"root, control",mature,USA:MI
SRX11703679,RNA-Seq,mature fruit,mature,USA:MI
SRX11703680,RNA-Seq,mature fruit,mature,USA:MI
SRX11703677,RNA-Seq,"root, control",mature,USA:MI
SRX11703678,RNA-Seq,"root, control",mature,USA:MI
SRX11703682,RNA-Seq,tuber stage 2,immature,USA:MI
SRX11703674,RNA-Seq,"root, drought treatment",mature,USA:MI
SRX11703672,RNA-Seq,"root, drought treatment",mature,USA:MI
SRX11703673,RNA-Seq,"root, drought treatment",mature,USA:MI
SRX11703670,RNA-Seq,"root, salt treatment",mature,USA:MI
SRX11703667,RNA-Seq,"mature leaf, cold treatment",mature,USA:MI
SRX11703669,RNA-Seq,"root, salt treatment",mature,USA:MI
SRX11703666,RNA-Seq,"mature leaf, cold treatment",mature,USA:MI
SRX11703665,RNA-Seq,"mature leaf, heat treatment",mature,USA:MI
SRX11703664,RNA-Seq,tuber stage 3,mature,USA:MI
SRX11703668,RNA-Seq,"mature leaf, cold treatment",mature,USA:MI
SRX11703671,RNA-Seq,"root, salt treatment",mature,USA:MI
SRX11703663,RNA-Seq,"mature leaf, heat treatment",mature,USA:MI
SRX11703662,RNA-Seq,"mature leaf, heat treatment",mature,USA:MI
SRX11703661,RNA-Seq,immature fruit,immature,USA:MI
SRX11703659,RNA-Seq,immature fruit,immature,USA:MI
SRX11703658,RNA-Seq,"mature leaf, drought treatment",mature,USA:MI
SRX11703660,RNA-Seq,immature fruit,immature,USA:MI
SRX11703655,RNA-Seq,"mature leaf, cold treatment control",mature,USA:MI
SRX11703656,RNA-Seq,"mature leaf, cold treatment control",mature,USA:MI
SRX11703657,RNA-Seq,"mature leaf, drought treatment",mature,USA:MI
SRX11703654,RNA-Seq,"mature leaf, cold treatment control",mature,USA:MI
SRX11703675,RNA-Seq,tuber stage 3,mature,USA:MI
SRX11703652,RNA-Seq,"mature leaf, salt treatment control",mature,USA:MI
SRX11703653,RNA-Seq,tuber stage 3,mature,USA:MI
SRX11703651,RNA-Seq,"mature leaf, salt treatment control",mature,USA:MI
SRX11703650,RNA-Seq,"mature leaf, salt treatment control",mature,USA:MI
SRX11703649,RNA-Seq,"mature leaf, salt treatment",mature,USA:MI
